# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
2.1874,0.0201,running,1,1.0000,1.0000,0.2240,0.2239,8110328,8346838,636.6198,637.1398,593,596,0.2239,-0.0000,-0.0096,0.2000,,0,20.1105
2.2115,0.0232,running,1,1.0000,1.0000,0.2286,0.2286,8119175,8355731,636.6198,636.9864,633,641,0.2286,-0.0000,-0.0068,0.2000,,0,23.1712
2.2311,0.0199,running,1,1.0000,1.0000,0.2325,0.2325,8126683,8363273,636.6198,636.8731,633,641,0.2325,-0.0000,-0.0047,0.2000,,0,19.8843
2.2511,0.0201,running,1,1.0000,1.0000,0.2365,0.2365,8134307,8370822,636.6198,637.1231,633,641,0.2365,-0.0000,-0.0093,0.2000,,0,20.1204
2.2715,0.0202,running,1,1.0000,1.0000,0.2406,0.2405,8142014,8378553,636.6198,637.0431,633,641,0.2405,-0.0000,-0.0078,0.2000,,0,20.2406
2.2926,0.0211,running,1,1.0000,1.0000,0.2448,0.2449,8150184,8386963,636.6198,636.2431,633,641,0.2449,-0.0000,0.0070,0.2000,,0,21.0521
2.3124,0.0199,running,1,1.0000,1.0000,0.2488,0.2489,8157724,8394510,636.6198,636.2198,633,641,0.2488,-0.0000,0.0074,0.2000,,0,19.8797
2.3324,0.0201,running,1,1.0000,1.0000,0.2528,0.2529,8165430,8402297,636.6198,635.9498,633,641,0.2529,-0.0000,0.0124,0.2000,,0,20.0571
2.3523,0.0200,running,1,1.0000,1.0000,0.2568,0.2569,8173089,8409962,636.6198,635.9298,633,641,0.2569,-0.0000,0.0128,0.2000,,0,19.9794
2.3726,0.0202,running,1,1.0000,1.0000,0.2609,0.2610,8180817,8417755,636.6198,635.7131,633,641,0.2610,-0.0000,0.0168,0.2000,,0,20.2004
2.3926,0.0200,running,1,1.0000,1.0000,0.2649,0.2650,8188504,8425401,636.6198,635.8498,633,641,0.2650,-0.0000,0.0142,0.2000,,0,20.0428
2.4154,0.0230,running,1,1.0000,1.0000,0.2695,0.2696,8197248,8434055,636.6198,636.1498,635,636,0.2695,-0.0000,0.0087,0.2000,,0,23.0208
2.4349,0.0199,running,1,1.0000,1.0000,0.2734,0.2734,8204804,8441429,636.6198,636.7564,635,636,0.2734,-0.0000,-0.0025,0.2000,,0,19.9448
2.4552,0.0202,running,1,1.0000,1.0000,0.2775,0.2774,8212558,8449089,636.6198,637.0698,635,636,0.2775,-0.0000,-0.0083,0.2000,,0,20.1764
2.4754,0.0202,running,1,1.0000,1.0000,0.2816,0.2815,8220320,8456889,636.6198,636.9431,635,636,0.2815,-0.0000,-0.0060,0.2000,,0,20.2020
2.4954,0.0200,running,1,1.0000,1.0000,0.2856,0.2856,8228046,8464589,636.6198,637.0298,635,636,0.2856,-0.0000,-0.0076,0.2000,,0,19.9886
2.5154,0.0201,running,1,1.0000,1.0000,0.2896,0.2896,8235678,8472254,636.6198,636.9198,635,636,0.2896,-0.0000,-0.0055,0.2000,,0,20.0584
2.5357,0.0202,running,1,1.0000,1.0000,0.2937,0.2936,8243442,8480017,636.6198,636.9231,635,636,0.2937,-0.0000,-0.0056,0.2000,,0,20.1933
2.5557,0.0201,running,1,1.0000,1.0000,0.2977,0.2976,8251067,8487590,636.6198,637.0964,635,636,0.2976,-0.0000,-0.0088,0.2000,,0,20.0623
2.5759,0.0202,running,1,1.0000,1.0000,0.3017,0.3017,8258778,8495347,636.6198,636.9431,635,636,0.3017,-0.0000,-0.0060,0.2000,,0,20.1943
2.5959,0.0201,running,1,1.0000,1.0000,0.3057,0.3056,8266448,8502967,636.6198,637.1098,635,636,0.3057,-0.0000,-0.0091,0.2000,,0,20.0522
2.6191,0.0234,running,1,1.0000,1.0000,0.3104,0.3103,8275348,8511897,636.6198,637.0098,637,642,0.3104,-0.0000,-0.0072,0.2000,,0,23.3533
2.6395,0.0200,running,1,1.0000,1.0000,0.3144,0.3144,8282968,8519594,636.6198,636.7531,637,642,0.3144,-0.0000,-0.0025,0.2000,,0,19.9776
2.6594,0.0202,running,1,1.0000,1.0000,0.3184,0.3184,8290736,8527298,636.6198,636.9664,637,642,0.3184,-0.0000,-0.0064,0.2000,,0,20.1685
2.6826,0.0225,running,1,1.0000,1.0000,0.3229,0.3230,8299334,8536178,636.6198,636.0264,637,642,0.3230,-0.0000,0.0110,0.2000,,0,22.4885
2.7008,0.0181,running,1,1.0000,1.0000,0.3265,0.3265,8306193,8542756,636.6198,636.9631,637,642,0.3265,-0.0000,-0.0063,0.2000,,0,18.0715
2.7211,0.0201,running,1,1.0000,1.0000,0.3306,0.3305,8313926,8550469,636.6198,637.0298,637,642,0.3306,-0.0000,-0.0076,0.2000,,0,20.1048
2.7428,0.0201,running,1,1.0000,1.0000,0.3346,0.3345,8321573,8558157,636.6198,636.8931,637,642,0.3346,-0.0000,-0.0051,0.2000,,0,20.0818
2.7610,0.0200,running,1,1.0000,1.0000,0.3386,0.3385,8329204,8565764,636.6198,636.9731,637,642,0.3386,-0.0000,-0.0065,0.2000,,0,19.9551
2.7809,0.0201,running,1,1.0000,1.0000,0.3426,0.3425,8336815,8573422,636.6198,636.8164,637,642,0.3426,-0.0000,-0.0036,0.2000,,0,20.0602
2.8013,0.0203,running,1,1.0000,1.0000,0.3466,0.3466,8344585,8581126,636.6198,637.0364,637,642,0.3466,-0.0000,-0.0077,0.2000,,0,20.2995
2.8249,0.0227,running,1,1.0000,1.0000,0.3514,0.3515,8353710,8590523,636.6198,636.1298,640,640,0.3515,-0.0000,0.0091,0.2000,,0,22.6503
2.8452,0.0201,running,1,1.0000,1.0000,0.3554,0.3555,8361326,8598267,636.6198,635.7031,640,640,0.3555,-0.0000,0.0169,0.2000,,0,20.1217
2.8990,0.0549,running,1,1.0000,1.0000,0.3662,0.3663,8381972,8618791,636.6198,636.1098,640,640,0.3663,-0.0000,0.0094,0.2000,,0,54.9122
2.9182,0.0200,running,1,1.0000,1.0000,0.3702,0.3701,8389636,8626150,636.6198,637.1264,640,640,0.3702,-0.0000,-0.0094,0.2000,,0,19.9798
2.9382,0.0201,running,1,1.0000,1.0000,0.3742,0.3742,8397240,8633819,636.6198,636.9098,640,640,0.3742,-0.0000,-0.0054,0.2000,,0,20.1023
2.9582,0.0201,running,1,1.0000,1.0000,0.3782,0.3782,8404910,8641487,636.6198,636.9164,640,640,0.3782,-0.0000,-0.0055,0.2000,,0,20.0731
2.9784,0.0201,running,1,1.0000,1.0000,0.3823,0.3822,8412609,8649217,636.6198,636.8131,640,640,0.3822,-0.0000,-0.0036,0.2000,,0,20.0945
2.9984,0.0200,running,1,1.0000,1.0000,0.3863,0.3862,8420290,8656893,636.6198,636.8298,640,640,0.3863,-0.0000,-0.0039,0.2000,,0,20.0379
3.0186,0.0202,running,1,1.0000,1.0000,0.3903,0.3903,8428016,8664573,636.6198,636.9831,640,640,0.3903,-0.0000,-0.0067,0.2000,,0,20.1516
3.0424,0.0221,running,1,1.0000,1.0000,0.3947,0.3947,8436375,8672965,636.6198,636.8731,631,638,0.3947,-0.0000,-0.0047,0.2000,,0,22.1078
3.0619,0.0204,running,1,1.0000,1.0000,0.3988,0.3989,8444220,8681101,636.6198,635.9031,631,638,0.3989,-0.0000,0.0132,0.2000,,0,20.4128
3.0817,0.0199,running,1,1.0000,1.0000,0.4028,0.4029,8451764,8688623,636.6198,635.9764,631,638,0.4028,-0.0000,0.0119,0.2000,,0,19.9254
3.1017,0.0200,running,1,1.0000,1.0000,0.4068,0.4069,8459444,8696338,636.6198,635.8598,631,638,0.4068,-0.0000,0.0140,0.2000,,0,20.0205
