# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow
2.0200,0.0200,run,-5.0000,5.0000,-0.0135,-0.0000,0.0016,0.0120,44.8545,749.7998,695.6998,714.1909,1.0000,723,744,1,1,,1847,1847,20.0335,left,1
2.0404,0.0203,run,-5.0000,5.0000,-0.0133,-0.0000,0.0011,0.0122,42.6097,737.9544,685.9263,704.7631,1.0000,723,744,1,1,,1847,1847,20.3000,left,1
2.0604,0.0200,run,-5.0000,5.0000,-0.0131,-0.0000,0.0008,0.0123,40.5898,727.8842,677.7884,696.8005,1.0000,723,744,1,1,,1847,1847,19.9997,left,1
2.0806,0.0202,run,-5.0000,5.0000,-0.0129,-0.0000,0.0006,0.0123,38.7448,719.3346,671.0417,690.1378,1.0000,723,744,1,1,,1847,1847,20.2315,left,1
2.1007,0.0201,run,-4.0000,4.0000,-0.0102,-0.0000,0.0138,-0.0036,39.0703,712.4559,676.1742,670.5970,1.0000,723,744,1,1,,1847,1847,20.1023,left,1
2.1207,0.0201,run,-4.0000,4.0000,-0.0101,-0.0000,0.0099,0.0003,38.5061,707.2023,668.5003,668.8922,1.0000,723,744,1,1,,1847,1847,20.0546,left,1
2.1408,0.0201,run,-4.0000,4.0000,-0.0100,-0.0000,0.0070,0.0030,37.4278,703.5552,663.8033,668.4515,1.0000,723,744,1,1,,1847,1847,20.0772,left,1
2.1609,0.0201,run,-4.0000,4.0000,-0.0100,-0.0000,0.0050,0.0050,36.0858,701.5201,661.5899,669.2787,1.0000,723,744,1,1,,1847,1847,20.0917,left,1
2.1810,0.0201,run,-4.0000,4.0000,-0.0100,-0.0000,0.0036,0.0064,34.6454,701.0996,661.5191,671.3892,1.0000,723,744,1,1,,1847,1847,20.0891,left,1
2.2011,0.0201,run,-4.0000,4.0000,-0.0100,-0.0000,0.0026,0.0074,33.2121,702.2926,663.3563,674.8048,1.0000,660,664,1,1,,1847,1847,20.0839,left,1
2.2212,0.0201,run,-4.0000,4.0000,-0.0100,-0.0000,0.0018,0.0082,31.8499,705.1019,666.9480,679.5560,1.0000,660,664,1,1,,1847,1847,20.0966,left,1
2.2413,0.0201,run,-4.0000,4.0000,-0.0100,-0.0000,0.0013,0.0087,30.5977,709.5307,672.1938,685.6722,1.0000,660,664,1,1,,1847,1847,20.1099,left,1
