# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
2.1772,0.0204,running,1,1.0000,1.0000,0.3515,0.3514,13735246,18217476,636.6198,637.7198,638,637,0.3515,-0.0001,-0.0204,0.2000,0.6104,20.4019
2.2032,0.0259,running,1,1.0000,1.0000,0.3568,0.3566,13745184,18227425,636.6198,637.6831,634,640,0.3567,-0.0001,-0.0197,0.2000,0.6104,25.9026
2.2232,0.0201,running,1,1.0000,1.0000,0.3607,0.3606,13752798,18235030,636.6198,637.7131,634,640,0.3607,-0.0001,-0.0202,0.2000,0.6104,20.0911
2.2432,0.0201,running,1,1.0000,1.0000,0.3647,0.3646,13760448,18242709,636.6198,637.6164,634,640,0.3647,-0.0001,-0.0185,0.2000,0.6104,20.0598
2.2634,0.0201,running,1,1.0000,1.0000,0.3688,0.3686,13768209,18250445,636.6198,637.6998,634,640,0.3687,-0.0001,-0.0200,0.2000,0.6104,20.1246
2.2834,0.0201,running,1,1.0000,1.0000,0.3728,0.3726,13775838,18258093,636.6198,637.6364,634,640,0.3727,-0.0001,-0.0188,0.2000,0.6104,20.0536
2.3037,0.0202,running,1,1.0000,1.0000,0.3769,0.3767,13783595,18265859,636.6198,637.6064,634,640,0.3768,-0.0001,-0.0183,0.2000,-0.1221,20.1503
2.3237,0.0202,running,1,1.0000,1.0000,0.3808,0.3807,13791178,18273451,636.6198,637.5764,634,640,0.3808,-0.0001,-0.0177,0.2000,-0.1221,20.1549
2.3436,0.0200,running,1,1.0000,1.0000,0.3849,0.3847,13798849,18281138,636.6198,637.5231,634,640,0.3848,-0.0001,-0.0167,0.2000,-0.1221,19.9597
2.3636,0.0201,running,1,1.0000,1.0000,0.3888,0.3887,13806465,18288723,636.6198,637.6264,634,640,0.3888,-0.0001,-0.0186,0.2000,-0.1221,20.0984
2.3839,0.0202,running,1,1.0000,1.0000,0.3929,0.3928,13814236,18296500,636.6198,637.6064,634,640,0.3928,-0.0001,-0.0183,0.2000,-0.1221,20.2131
2.4090,0.0250,running,1,1.0000,1.0000,0.3979,0.3978,13823791,18306047,636.6198,637.6331,639,633,0.3978,-0.0001,-0.0188,0.2000,-0.1221,24.9834
2.4292,0.0202,running,1,1.0000,1.0000,0.4020,0.4018,13831550,18313807,636.6198,637.6298,639,633,0.4019,-0.0001,-0.0187,0.2000,-0.1221,20.1826
2.4495,0.0202,running,1,1.0000,1.0000,0.4060,0.4058,13839248,18321504,636.6198,637.6331,639,633,0.4059,-0.0001,-0.0188,0.2000,-0.1221,20.1626
2.4694,0.0201,running,1,1.0000,1.0000,0.4100,0.4099,13846919,18329170,636.6198,637.6498,639,633,0.4099,-0.0001,-0.0191,0.2000,-0.1221,20.0830
2.4894,0.0201,running,1,1.0000,1.0000,0.4140,0.4138,13854542,18336765,636.6198,637.7431,639,633,0.4139,-0.0001,-0.0208,0.2000,-0.1221,20.0794
2.5098,0.0201,running,1,1.0000,1.0000,0.4181,0.4179,13862309,18344551,636.6198,637.6798,639,633,0.4180,-0.0001,-0.0196,0.2000,-0.1221,20.1134
2.5297,0.0202,running,1,1.0000,1.0000,0.4221,0.4219,13869957,18352192,636.6198,637.7031,639,633,0.4220,-0.0001,-0.0201,0.2000,-0.1221,20.1643
2.5499,0.0201,running,1,1.0000,1.0000,0.4261,0.4260,13877703,18359940,636.6198,637.6964,639,633,0.4261,-0.0001,-0.0199,0.2000,-0.1221,20.1173
2.5700,0.0201,running,1,1.0000,1.0000,0.4302,0.4300,13885372,18367596,636.6198,637.7398,639,633,0.4301,-0.0001,-0.0207,0.2000,-0.1221,20.0521
2.5899,0.0201,running,1,1.0000,1.0000,0.4341,0.4340,13892970,18375203,636.6198,637.7098,639,633,0.4340,-0.0001,-0.0202,0.2000,-0.1221,20.0502
2.6157,0.0256,running,1,1.0000,1.0000,0.4393,0.4391,13902822,18385040,636.6198,637.7598,638,636,0.4392,-0.0002,-0.0211,0.2000,-0.1221,25.5675
