# profile=agv-01 U-turn 180 deg ccw at 200 r/min, ends on tape, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
2.1208,0.0205,spin,1,,,,,16909769,20557443,-200.0000,200.0000,-200,199,,,29.6816,,47,1,20.4787
2.1433,0.0223,spin,1,,,,,16907089,20560233,-200.0000,200.0000,-200,199,,,30.0185,,48,1,22.3449
2.1919,0.0490,spin,1,,,,,16901222,20566091,-200.0000,200.0000,-200,199,,,30.7408,,49,1,48.9938
2.2146,0.0232,spin,1,,,,,16898405,20568815,-200.0000,200.0000,-200,199,,,31.0822,,50,1,23.1916
2.2327,0.0173,spin,1,,,,,16896356,20570968,-200.0000,200.0000,-200,199,,,31.3410,,51,1,17.2508
2.2529,0.0201,spin,1,,,,,16893948,20573393,-200.0000,200.0000,-200,199,,,31.6387,,51,1,20.1203
2.2730,0.0202,spin,1,,,,,16891560,20575804,-200.0000,200.0000,-200,199,,,31.9344,,52,1,20.1807
2.2929,0.0200,spin,1,,,,,16889154,20578188,-200.0000,200.0000,-200,199,,,32.2294,,53,1,20.0029
2.3211,0.0281,spin,1,,,,,16885728,20581545,-200.0000,200.0000,-200,199,,,32.6473,,53,1,28.0771
2.3337,0.0135,spin,1,,,,,16884136,20583040,-200.0000,200.0000,-200,199,,,32.8374,,54,1,13.4971
2.3554,0.0216,spin,1,,,,,16881571,20585667,-200.0000,200.0000,-199,200,,,33.1573,,55,1,21.6373
2.3754,0.0201,spin,1,,,,,16879163,20588067,-200.0000,200.0000,-199,200,,,33.4534,,56,1,20.1150
2.3954,0.0201,spin,1,,,,,16876767,20590453,-200.0000,200.0000,-199,200,,,33.7480,,56,1,20.0768
2.4154,0.0200,spin,1,,,,,16874338,20592847,-200.0000,200.0000,-199,200,,,34.0451,,57,1,19.9857
2.4357,0.0202,spin,1,,,,,16871910,20595280,-200.0000,200.0000,-199,200,,,34.3446,,58,1,20.1885
2.4556,0.0200,spin,1,,,,,16869514,20597697,-200.0000,200.0000,-199,200,,,34.6411,,59,1,20.0251
2.4759,0.0201,spin,1,,,,,16867124,20600141,-200.0000,200.0000,-199,200,,,34.9389,,59,1,20.0789
2.4959,0.0201,spin,1,,,,,16864691,20602523,-200.0000,200.0000,-199,200,,,35.2355,,60,1,20.1353
2.5182,0.0217,spin,1,,,,,16862091,20605100,-200.0000,200.0000,-199,200,,,35.5544,,61,1,21.6894
2.5362,0.0186,spin,1,,,,,16859846,20607353,-200.0000,200.0000,-199,200,,,35.8315,,62,1,18.5760
2.5579,0.0218,spin,1,,,,,16857239,20609966,-200.0000,200.0000,-200,201,,,36.1530,,63,1,21.7826
2.5782,0.0201,spin,1,,,,,16854845,20612386,-200.0000,200.0000,-200,201,,,36.4496,,63,1,20.1183
2.5981,0.0202,spin,1,,,,,16852412,20614782,-200.0000,200.0000,-200,201,,,36.7470,,64,1,20.1551
2.6182,0.0199,spin,1,,,,,16850045,20617157,-200.0000,200.0000,-200,201,,,37.0392,,65,1,19.8767
2.6384,0.0203,spin,1,,,,,16847594,20619608,-200.0000,200.0000,-200,201,,,37.3411,,66,1,20.2820
2.6584,0.0200,spin,1,,,,,16845187,20622006,-200.0000,200.0000,-200,201,,,37.6371,,66,1,20.0250
2.6789,0.0202,spin,1,,,,,16842744,20624467,-200.0000,200.0000,-200,201,,,37.9392,,67,1,20.2086
2.6989,0.0201,spin,1,,,,,16840341,20626875,-200.0000,200.0000,-200,201,,,38.2356,,68,1,20.0729
2.7189,0.0200,spin,1,,,,,16837953,20629280,-200.0000,200.0000,-200,201,,,38.5308,,69,1,20.0473
2.7401,0.0203,spin,1,,,,,16835532,20631696,-200.0000,200.0000,-200,201,,,38.8288,,70,1,20.2529
2.7657,0.0265,spin,1,,,,,16832368,20634870,-200.0000,200.0000,-199,200,,,39.2192,,71,1,26.5157
2.7857,0.0201,spin,1,,,,,16829974,20637267,-200.0000,200.0000,-199,200,,,39.5144,,72,1,20.0998
2.8059,0.0200,spin,1,,,,,16827546,20639694,-200.0000,200.0000,-199,200,,,39.8134,,73,1,20.0232
2.8259,0.0201,spin,1,,,,,16825145,20642087,-200.0000,200.0000,-199,200,,,40.1088,,74,1,20.0708
2.8459,0.0202,spin,1,,,,,16822735,20644491,-200.0000,200.0000,-199,200,,,40.4053,,76,1,20.1652
2.8662,0.0200,spin,1,,,,,16820283,20646948,-200.0000,200.0000,-199,200,,,40.7077,,77,1,20.0473
2.8859,0.0201,spin,1,,,,,16817876,20649330,-200.0000,200.0000,-199,200,,,41.0027,,79,1,20.0667
2.9059,0.0200,spin,1,,,,,16815468,20651751,-200.0000,200.0000,-199,200,,,41.3002,,77,1,20.0474
2.9259,0.0200,spin,1,,,,,16813067,20654159,-200.0000,200.0000,-199,200,,,41.5964,,77,1,20.0401
2.9467,0.0203,spin,1,,,,,16810639,20656632,-200.0000,200.0000,-199,200,,,41.8984,,78,1,20.2848
2.9701,0.0226,spin,1,,,,,16807913,20659326,-200.0000,200.0000,-199,200,,,42.2322,,78,1,22.5676
2.9901,0.0201,spin,1,,,,,16805522,20661714,-200.0000,200.0000,-199,200,,,42.5266,,80,1,20.0620
3.0111,0.0200,spin,1,,,,,16803128,20664103,-200.0000,200.0000,-199,200,,,42.8213,,81,1,20.0297
3.0304,0.0203,spin,1,,,,,16800711,20666554,-200.0000,200.0000,-199,200,,,43.1211,,82,1,20.2618
3.0501,0.0200,spin,1,,,,,16798298,20668896,-200.0000,200.0000,-199,200,,,43.4141,,82,1,20.0032
3.0701,0.0201,spin,1,,,,,16795904,20671332,-200.0000,200.0000,-199,200,,,43.7116,,83,1,20.0638
3.0904,0.0201,spin,1,,,,,16793485,20673760,-200.0000,200.0000,-199,200,,,44.0102,,84,1,20.0792
3.1134,0.0200,spin,1,,,,,16791073,20676349,-200.0000,200.0000,-199,200,,,44.3183,,86,1,20.0181
3.1305,0.0201,spin,1,,,,,16788658,20678574,-200.0000,200.0000,-199,200,,,44.6041,,86,1,20.1354
3.1507,0.0203,spin,1,,,,,16786234,20681022,-200.0000,200.0000,-199,200,,,44.9042,,87,1,20.2550
3.2159,0.0659,spin,1,,,,,16778267,20688949,-200.0000,200.0000,-200,200,,,45.8833,,90,1,65.9343
3.2332,0.0165,spin,1,,,,,16776316,20691024,-200.0000,200.0000,-200,200,,,46.1313,,91,1,16.4946
3.2532,0.0200,spin,1,,,,,16773924,20693409,-200.0000,200.0000,-200,200,,,46.4256,,92,1,20.0330
3.2734,0.0202,spin,1,,,,,16771482,20695841,-200.0000,200.0000,-200,200,,,46.7258,,93,1,20.2108
3.2934,0.0200,spin,1,,,,,16769086,20698245,-200.0000,200.0000,-200,200,,,47.0215,,94,1,20.0263
3.3189,0.0246,spin,1,,,,,16765927,20701289,-200.0000,200.0000,-200,200,,,47.4036,,95,1,24.6168
3.3334,0.0156,spin,1,,,,,16764185,20703026,-200.0000,200.0000,-200,200,,,47.6179,,96,1,15.5748
3.3534,0.0200,spin,1,,,,,16761793,20705415,-200.0000,200.0000,-200,200,,,47.9125,,97,1,19.9827
3.3749,0.0224,spin,1,,,,,16759203,20707998,-200.0000,200.0000,-199,199,,,48.2311,,99,1,22.3743
3.3952,0.0201,spin,1,,,,,16756770,20710421,-200.0000,200.0000,-199,199,,,48.5303,,100,1,20.0654
3.4164,0.0213,spin,1,,,,,16754221,20712979,-200.0000,200.0000,-199,199,,,48.8449,,,0,21.3462
3.4362,0.0199,spin,1,,,,,16751850,20715357,-200.0000,200.0000,-199,199,,,49.1374,,,0,19.8684
3.4562,0.0200,spin,1,,,,,16749451,20717752,-200.0000,200.0000,-199,199,,,49.4327,,,0,20.0378
3.4764,0.0201,spin,1,,,,,16747021,20720183,-200.0000,200.0000,-199,199,,,49.7322,,,0,20.1106
3.4964,0.0200,spin,1,,,,,16744629,20722582,-200.0000,200.0000,-199,199,,,50.0273,,,0,20.0489
3.5174,0.0208,spin,1,,,,,16742141,20725114,-200.0000,200.0000,-199,199,,,50.3366,,,0,20.8359
3.5372,0.0198,spin,1,,,,,16739724,20727499,-200.0000,200.0000,-199,199,,,50.6324,,,0,19.8461
3.5571,0.0200,spin,1,,,,,16737317,20729909,-200.0000,200.0000,-199,199,,,50.9291,,,0,20.0109
3.5801,0.0220,spin,1,,,,,16734672,20732568,-200.0000,200.0000,-200,200,,,51.2558,,,0,22.0320
3.6003,0.0201,spin,1,,,,,16732238,20734979,-200.0000,200.0000,-200,200,,,51.5543,,,0,20.1374
3.6202,0.0199,spin,1,,,,,16729868,20737376,-200.0000,200.0000,-200,200,,,51.8479,,,0,19.9086
3.6403,0.0203,spin,1,,,,,16727443,20739763,-200.0000,200.0000,-200,200,,,52.1444,,,0,20.2765
3.6604,0.0200,spin,1,,,,,16725054,20742161,-200.0000,200.0000,-200,200,,,52.4393,,,0,20.0131
3.6809,0.0202,spin,1,,,,,16722588,20744654,-200.0000,200.0000,-200,200,,,52.7447,,,0,20.2458
3.7009,0.0201,spin,1,,,,,16720184,20747062,-200.0000,200.0000,-200,200,,,53.0412,,,0,20.0589
3.7208,0.0200,spin,1,,,,,16717792,20749420,-200.0000,200.0000,-200,200,,,53.3338,,,0,19.9883
3.7412,0.0203,spin,1,,,,,16715356,20751975,-200.0000,200.0000,-200,200,,,53.6412,,,0,20.2993
3.7608,0.0199,spin,1,,,,,16712984,20754210,-200.0000,200.0000,-200,200,,,53.9250,,,0,19.9008
3.7865,0.0263,spin,1,,,,,16709801,20757401,-200.0000,200.0000,-200,201,,,54.3177,,,0,26.3351
3.8067,0.0201,spin,1,,,,,16707406,20759843,-200.0000,200.0000,-200,201,,,54.6156,,,0,20.0664
3.8268,0.0200,spin,1,,,,,16705019,20762209,-200.0000,200.0000,-200,201,,,54.9084,,,0,19.9770
3.8464,0.0200,spin,1,,,,,16702621,20764604,-200.0000,200.0000,-200,201,,,55.2037,,,0,20.0432
3.8669,0.0202,spin,1,,,,,16700173,20767072,-200.0000,200.0000,-200,201,,,55.5065,,,0,20.2310
3.8867,0.0201,spin,1,,,,,16697777,20769448,-200.0000,200.0000,-200,201,,,55.8005,,,0,20.0705
3.9069,0.0201,spin,1,,,,,16695341,20771878,-200.0000,200.0000,-200,201,,,56.1002,,,0,20.0816
3.9267,0.0200,spin,1,,,,,16692967,20774244,-200.0000,200.0000,-200,201,,,56.3922,,,0,19.9745
3.9475,0.0203,spin,1,,,,,16690519,20776728,-200.0000,200.0000,-200,201,,,56.6961,,,0,20.3206
3.9684,0.0200,spin,1,,,,,16688117,20779218,-200.0000,200.0000,-200,201,,,56.9974,,,0,20.0451
3.9907,0.0226,spin,1,,,,,16685433,20781777,-200.0000,200.0000,-200,199,,,57.3204,,,0,22.6262
4.0120,0.0200,spin,1,,,,,16683040,20784197,-200.0000,200.0000,-200,199,,,57.6169,,,0,20.0180
4.0309,0.0201,spin,1,,,,,16680614,20786586,-200.0000,200.0000,-200,199,,,57.9135,,,0,20.1464
4.0512,0.0202,spin,1,,,,,16678202,20789132,-200.0000,200.0000,-200,199,,,58.2189,,,0,20.1941
4.0712,0.0200,spin,1,,,,,16675807,20791533,-200.0000,200.0000,-200,199,,,58.5144,,,0,20.0169
4.0912,0.0202,spin,1,,,,,16673375,20793919,-200.0000,200.0000,-200,199,,,58.8111,,,0,20.2121
4.1147,0.0200,spin,1,,,,,16670966,20796323,-200.0000,200.0000,-200,199,,,59.1076,,,0,20.0197
4.1312,0.0201,spin,1,,,,,16668557,20798729,-200.0000,200.0000,-200,199,,,59.4043,,,0,20.1032
4.1514,0.0202,spin,1,,,,,16666118,20801172,-200.0000,200.0000,-200,199,,,59.7050,,,0,20.1847
4.2012,0.0499,spin,1,,,,,16660164,20807149,-200.0000,200.0000,-200,199,,,60.4400,,,0,49.8584
4.2274,0.0264,spin,1,,,,,16656979,20810242,-200.0000,200.0000,-201,201,,,60.8267,,,0,26.3908
4.2475,0.0202,spin,1,,,,,16654555,20812700,-200.0000,200.0000,-201,201,,,61.1274,,,0,20.2169
4.2672,0.0201,spin,1,,,,,16652140,20815075,-200.0000,200.0000,-201,201,,,61.4225,,,0,20.1185
4.2877,0.0201,spin,1,,,,,16649702,20817550,-200.0000,200.0000,-201,201,,,61.7252,,,0,20.0519
4.3074,0.0201,spin,1,,,,,16647317,20819923,-200.0000,200.0000,-201,201,,,62.0183,,,0,20.0937
4.3275,0.0199,spin,1,,,,,16644907,20822329,-200.0000,200.0000,-201,201,,,62.3149,,,0,19.9364
4.3479,0.0203,spin,1,,,,,16642472,20824783,-200.0000,200.0000,-201,201,,,62.6161,,,0,20.2679
4.3679,0.0201,spin,1,,,,,16640071,20827176,-200.0000,200.0000,-201,201,,,62.9114,,,0,20.0938
4.3879,0.0199,spin,1,,,,,16637671,20829572,-200.0000,200.0000,-201,201,,,63.2069,,,0,19.9454
4.4082,0.0203,spin,1,,,,,16635239,20832001,-200.0000,200.0000,-201,201,,,63.5063,,,0,20.2515
4.4327,0.0238,spin,1,,,,,16632399,20834927,-200.0000,200.0000,-199,199,,,63.8615,,,0,23.7599
4.4527,0.0201,spin,1,,,,,16629999,20837311,-200.0000,200.0000,-199,199,,,64.1562,,,0,20.0941
4.4727,0.0200,spin,1,,,,,16627610,20839717,-200.0000,200.0000,-199,199,,,64.4516,,,0,20.0468
4.4927,0.0201,spin,1,,,,,16625180,20842116,-200.0000,200.0000,-199,199,,,64.7491,,,0,20.0902
4.5143,0.0201,spin,1,,,,,16622790,20844718,-200.0000,200.0000,-199,199,,,65.0566,,,0,20.0959
4.5332,0.0202,spin,1,,,,,16620352,20846976,-200.0000,200.0000,-199,199,,,65.3459,,,0,20.1758
4.5532,0.0201,spin,1,,,,,16617945,20849373,-200.0000,200.0000,-199,199,,,65.6418,,,0,20.0726
4.5735,0.0202,spin,1,,,,,16615516,20851808,-200.0000,200.0000,-199,199,,,65.9414,,,0,20.1749
4.5934,0.0200,spin,1,,,,,16613099,20854219,-200.0000,200.0000,-199,199,,,66.2388,,,0,19.9829
4.6138,0.0203,spin,1,,,,,16610585,20856650,-200.0000,200.0000,-199,199,,,66.5434,,,0,20.2796
4.6352,0.0223,spin,1,,,,,16608001,20859236,-200.0000,200.0000,-200,200,,,66.8619,,,0,22.2976
4.6552,0.0201,spin,1,,,,,16605576,20861631,-200.0000,200.0000,-200,200,,,67.1589,,,0,20.0852
4.6752,0.0201,spin,1,,,,,16603170,20864030,-200.0000,200.0000,-200,200,,,67.4548,,,0,20.0992
4.6952,0.0201,spin,1,,,,,16600770,20866427,-200.0000,200.0000,-200,200,,,67.7503,,,0,20.1192
4.7217,0.0255,spin,1,,,,,16597688,20869610,-200.0000,200.0000,-200,200,,,68.1363,,,0,25.5371
